author,date,text
M,18 giugno 2016,"Cari figli, sono molto felice ancora oggi perché avete risposto nel vostro cuore alla mia chiamata. 
Vi prego non c'è più tempo, convertitevi e recitate il rosario.
 Non resistete alla mia chiamata, pregate per i sacerdoti che si stanno perdendo, sono ciechi e sordi. 
Dite loro di andare nelle case e per le vie per la salvezza di più anime possibili.
 Io vi amo e vi amo e se solo sapessero tutti quanto è grande il mio amore per voi! 
Vi perdona Gesù per i vostri peccati ed io ancora con mio figlio, Vi benedico nel nome del Padre del Figlio dello Spirito Santo. Amen."
M,21 giugno 2016,"Cari figli, grazie di essere qui e grazie alle persone che oggi hanno accolto la mia chiamata. 
Ricordate che solo la verità vi renderà liberi.
 Recitate insieme a me tre volte il Padre Nostro.
 Pregate per i sacerdoti, per il Papa, per i vescovi e cardinali, affinché la mia luce possa toccare i loro cuori.
 Darò segni della mia presenza a chi non crede.
 Grazie miei apostoli, Vi benedico nel nome del Padre, del Figlio e dello Spirito Santo. Amen …pregate per il Papa, perché sarà breve il suo pontificato. Nei tre giorni di buio prendete delle candele benedette,  coloro che le terranno accese non verranno toccati dai demoni. Figlia mia, aiutami per la conversione dei miei figli; so che tu e tuo marito siete coloro che io vorrei accanto per le mie richieste e so che porterete a termine il compito che vi ho affidato. Grazie figli miei, la vostra Madre."
M,25 giugno 2016,"Figli miei, grazie per essere qui ancora oggi.
 Permette ai raggi luminosi di mio Figlio di entrare nei vostri cuori.
 Dico e continuo a ripetere: «siate umili, non solo durante la preghiera, ma ogni giorno.
 Quando pregate non serve nominare uno per uno le persone che avete a cuore, perché io conosco le vostre necessità, uno per uno e i nomi delle persone   care a voi. 
Vi ringrazio e insieme a Gesù, Vi benedico nel nome del Padre, del Figlio e dello Spirito Santo. Amen"
M,28 giugno 2016," Cari figli, cari figli…grazie per essere ancora qui, tanti anche oggi…sono molto felice.
 Qualcuno si chiede perché le mie apparizioni avvengono durante il Rosario.
 La risposta è semplice, perché io sono la Regina del Rosario.
Figlia mia, tu e il tuo sposo dovrete essere l’esempio per tutte le coppie, ecco perché vi ho scelto, per il grande Amore e per la grande Pace che avete nei vostri cuori; perché purtroppo il demonio si è insidiato nelle famiglie distruggendole. La forza del Rosario è l'arma vincente e potente. Figli miei pregate per il Papa, perché costretto a prendere decisioni che non provengono dal suo cuore.
Vi prego, intensificate i Rosari perché i tempi sono molto stretti. Non c'è più tempo. Grazie miei apostoli.
Vi benedico nel nome del Padre del Figlio e dello Spirito Santo. Amen"
M,2 luglio 2016,"Cari figli, grazie per aver risposto alla chiamata di vostra Madre. Io sono qui perché Gesù mi ha mandato. 
Non abbiate paura, i miei messaggi non sono disfattisti.
 Voglio che voi crediate a l'unico Dio e che abbracciate la croce di mio Figlio. 
Vi benedico nel nome del Padre del Figlio e dello Spirito Santo.   Amen."
M,05 luglio 2016,"Grazie figli miei per aver risposto alla mia chiamata nel vostro cuore. 
Oggi ci sono tante nuove persone.
Io asciugherò le vostre lacrime e non permetterò che satana vi attacchi.
Pregate il Santo Rosario.
 Vi benedico nel nome del Padre del Figlio dello Spirito Santo.  Amen"
M,09 Luglio 2016,"Grazie figli miei, oggi i giovani sono qui in questa casa benedetta. Vi Amo tutti. Vi benedico nel nome del Padre del Figlio dello Spirito Santo.  Amen"
M,12 luglio 2016,"Cari figli, sono molto felice perché siete tanti anche oggi…ma oggi sono anche un po’ triste, perché alcuni di voi hanno il cuore duro, vi ho fatto tante grazie ma voi continuate a non comprendere la mia presenza.
 Vi prendo per mano, ma continuate a sbagliare, non fatevi toccare dalle insidie. Prendete l'Eucaristia perché lì c'è il mio Figlio. Portate la mia Benedizione alle vostre famiglie, Vi benedico nel nome del Padre del Figlio dello Spirito Santo. Amen."
M,16 luglio 2016," Cari figli grazie per aver risposto alla mia chiamata nel vostro cuore. 
Grazie per la presenza dei giovani, oggi vi chiedo la pace e l'amore per i vostri fratelli e per i bisognosi. 
Vi chiedo di amarvi, così come mio Figlio ha fatto con i suoi fratelli.
Mio Figlio è molto vicino e lo vedrete scendere da una grande nube bianca. 
Vi prego figli miei, stringete il Rosario che è l'unica arma per difendersi dal male.

Per ogni Ave  Maria  detta con il cuore, farò una Grazia! 
Vi benedico nel nome del Padre del Figlio e dello Spirito Santo. Amen.
In questa occasione la Regina del Rosario ha chiesto di divulgare i messaggi finora ricevuti, affinché tutte le persone possano meditare."
M,23 luglio 2016,"Cari figli, Vi ringrazio ancora per le nuove persone, per la chiamata che avete sentito nel vostro cuore. 
Grazie per esservi riuniti anche oggi qui, il Signore vi dà la Grazia, il dono della saggezza, della speranza, della conoscenza, ma voi dovete ascoltare il messaggio di Gesù, dovete aprire i vostri cuori.
Io piango per i tempi duri che vi stanno aspettando, abbiate coraggio, Io sono vicino a voi e lo sarò sempre per proteggervi da ogni male .
Non siate lontani da me, perché io vi amo e vorrei tanto tanto che il desiderio più grande sia quello di portarvi nel mio Regno, nel mio mondo nuovo su questa terra. Vi benedico nel nome del Padre del Figlio dello Spirito Santo. Amen."
M,26 luglio 2016,"Cari Figli, Vi ringrazio per aver accettato ancora una volta la mia chiamata nel vostro cuore… Gesù sta pregando presso suo Padre, affinché possa liberarci al più presto e non far accadere nulla  e che la Terra possa purificarsi soltanto con la preghiera e con l'amore.
 Ma anche questo diventa difficile perché Dio è stanco…Dio è stanco!     
La Madonna ha inoltre aggiunto che si sta preparando una  grande Guerra Mondiale e che noi dobbiamo stare sereni e dobbiamo pregare tanto perché Lei è qui per proteggerci e non per farci paura.
 Si salverà chi amerà suo Figlio e chi pregherà il Rosario. 
Ha chiesto di non smettere mai, ed infine ha benedetto tutti i Rosari dei presenti.
 Ha benedetto tutti noi, nel nome del Padre del Figlio e dello Spirito Santo."
M,30 luglio 2016,"Cari figli,  grazie per aver risposto alla mia chiamata nel vostro cuore e per essere riuniti qui in questa casa benedetta. Aprite i vostri cuori affinché lo Spirito Santo possa infondere su di voi la Pace. 
Pregate sempre perché con le vostre preghiere, potete alleviare le vostre pene e quelle degli altri fedeli per i giorni di tribolazione che vi attendono.
La Terra sta per tremare, il Brasile presto berrà dall'amaro calice. Io vi sarò accanto e vi prendo per mano uno per uno, continuate a recitare il Rosario perché è l'arma più forte e più potente. "
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
M,,
